iter	RMSE
165	0.02080073941
166	0.0207861116
167	0.02058172008
168	0.0205198299
169	0.02047723587
170	0.02046597279
171	0.02045839756
172	0.02022776302
173	0.02018978436
174	0.020170922
175	0.0199736935
176	0.0199169661
177	0.0198766793
178	0.0197635781
179	0.01948520176
180	0.01942781946
181	0.01941088334
182	0.01939925072
183	0.01938788884
184	0.01935699749
185	0.01917300164
186	0.01914480039
187	0.01913074491
188	0.01892863282
189	0.01885026431
190	0.01880115003
191	0.01879298703
192	0.0185784384
193	0.01853022059
194	0.0185064793
195	0.01849563032
196	0.01841100988
197	0.0183903316
198	0.01832381751
199	0.01812746397
200	0.01809292156
201	0.01808228272
202	0.01806448104
203	0.01805372936
204	0.01802982944
205	0.01789951956
206	0.017879764
207	0.01784019285
208	0.01780070344
209	0.01775633367
210	0.01753555369
211	0.01750422694
212	0.01734463639
213	0.01725739929
214	0.01724262753
215	0.0171951448
216	0.01715788518
217	0.01700648126
218	0.01685994758
219	0.01684956086
220	0.01682714506
221	0.01678304268
222	0.01667001484
223	0.0166485127
224	0.01661981634
225	0.01648490558
226	0.01637463482
227	0.01636453033
228	0.01632529038
229	0.01628475961
230	0.01626165878
231	0.01612282369
232	0.01607824198
233	0.01606023004
234	0.01603434449
235	0.01601506702
236	0.01597897987
237	0.01596358171
238	0.01593255071
239	0.01592094242
240	0.0157884619
241	0.01577919679
242	0.01576123076
243	0.01575143983
244	0.01574172131
245	0.01571704487
246	0.01567978723
247	0.01557224502
248	0.01554863016
249	0.01551903314
250	0.01550210823
251	0.01538473921
252	0.0153561568
253	0.01534110468
254	0.01532810996
255	0.01531807791
256	0.01530880503
257	0.01527344427
258	0.0152523383
259	0.01521930062
260	0.01510845782
261	0.01507798414
262	0.01505940624
263	0.01486647507
264	0.01477234922
265	0.01476305782
266	0.01473200614
267	0.0147184304
268	0.0147069993
269	0.01469343279
270	0.0146809168
271	0.01466808726
272	0.01464248622
273	0.01461926446
274	0.01454043743
275	0.01439177681
276	0.0143218508
277	0.0142403282
278	0.01423527762
279	0.01410894023
280	0.01409754768
281	0.01404042744
282	0.01401969692
283	0.01401016618
284	0.01390401694
285	0.01389569106
286	0.01383302574
287	0.01381266766
288	0.01380303993
289	0.01376949642
290	0.01376138933
291	0.01364559693
292	0.01361232763
293	0.01359386069
294	0.01351913611
295	0.01348832133
296	0.01347742692
297	0.01346343187
298	0.01345417527
299	0.01344512771
300	0.01343255048
301	0.01342787162
302	0.01335003873
303	0.01332542715
304	0.01331109985
305	0.01329352003
306	0.01326571906
307	0.01321057385
308	0.01319984976
309	0.01319118543
310	0.01318206001
311	0.01316558423
312	0.01315649197
313	0.01314879807
314	0.01314170408
315	0.01312608074
316	0.01311949459
317	0.01302105559
318	0.01300977651
319	0.01294812543
320	0.01286945293
321	0.01282515442
322	0.01273845245
323	0.01272890989
324	0.01269672347
325	0.01264696955
326	0.01262328469
327	0.01261104535
328	0.01260528366
329	0.01258869727
330	0.01253174382
331	0.01245527934
332	0.01244993579
333	0.01244247022
334	0.01242014203
335	0.01241300846
336	0.0123983598
337	0.01237648705
338	0.01232360962
339	0.01231712255
340	0.01231256639
341	0.0123028823
342	0.01229279106
343	0.01228140531
344	0.01222449262
345	0.01221440478
346	0.01220601189
347	0.01215603809
348	0.01211048034
349	0.01210236145
350	0.01205265258
351	0.01204359017
352	0.01203378192
353	0.01195603477
354	0.01195098728
355	0.0119408199
356	0.01191759541
357	0.0119098477
358	0.01187141829
359	0.01185842547
360	0.0118390264
